age_group,country,first_trip_tz,ID,info_source,main_activity,most_impressing,Sum of night_mainland,Sum of night_zanzibar,package_accomodation,package_food,package_guided_tour,package_insurance,package_sightseeing,package_transport_int,package_transport_tz,payment_mode,purpose,Sum of total_cost,Sum of Total_days,Sum of total_female,Sum of total_male,Sum of Total_tourists,tour_arrangement,travel_with
1-24,AUSTRALIA,No,tour_5731,"Friends, relatives",Hunting tourism,Friendly People,6,7,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,549000,13,1,0,1,Independent,Alone
1-24,AUSTRALIA,Yes,tour_1302,"Friends, relatives",Beach tourism,Friendly People,10,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,994500,10,1,0,1,Independent,Uknown
1-24,AUSTRALIA,Yes,tour_2103,"Travel, agent, tour operator",Wildlife tourism,Friendly People,7,4,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,7873125,11,1,0,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_2394,"Travel, agent, tour operator",Cultural tourism,Friendly People,10,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,14428537.5,10,0,1,1,Package Tour,Uknown
1-24,AUSTRALIA,Yes,tour_2672,"Friends, relatives",Wildlife tourism,Friendly People,30,0,Yes,Yes,Yes,Yes,Yes,No,No,Cash,Volunteering,648000,30,1,0,1,Package Tour,Uknown
1-24,AUSTRALIA,Yes,tour_2674,"Friends, relatives",Conference tourism, Wildlife,12,0,Yes,Yes,Yes,No,Yes,No,No,Cash,Leisure and Holidays,4060875,12,0,1,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_2889,"Friends, relatives",Wildlife tourism, Wildlife,10,4,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,5096812.5,14,1,0,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_2957,"Travel, agent, tour operator",Conference tourism,Good service,12,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,5198457,12,1,0,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_396,"Travel, agent, tour operator",Hunting tourism,Friendly People,15,5,No,No,No,No,No,No,No,Cash,Leisure and Holidays,11027030,20,0,0,0,Independent,Alone
1-24,AUSTRALIA,Yes,tour_4273,"Travel, agent, tour operator",Wildlife tourism, Wildlife,10,0,Yes,Yes,No,No,No,No,Yes,Cash,Volunteering,2071875,10,0,1,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_4580,"Travel, agent, tour operator",Wildlife tourism, Wildlife,7,4,Yes,Yes,Yes,Yes,No,No,Yes,Cash,Leisure and Holidays,9862125,11,1,0,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_4687,"Travel, agent, tour operator",Wildlife tourism,Friendly People,7,6,Yes,Yes,No,Yes,Yes,Yes,No,Cash,Leisure and Holidays,49130994.5,13,1,1,2,Package Tour,Friends/Relatives
1-24,AUSTRALIA,Yes,tour_4740,"Travel, agent, tour operator",Cultural tourism,Good service,10,4,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,2179612.5,14,1,0,1,Package Tour,Alone
1-24,AUSTRALIA,Yes,tour_5496,others,Cultural tourism, Wildlife,9,4,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,15414750,13,0,1,1,Package Tour,Uknown
1-24,AUSTRIA,Yes,tour_1357,others,Cultural tourism,Friendly People,17,25,No,No,No,No,No,No,No,Cash,Volunteering,9945000,42,2,0,2,Independent,Friends/Relatives
1-24,AUSTRIA,Yes,tour_5514,"Friends, relatives",Beach tourism,"Wonderful Country, Landscape, Nature",0,10,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1588531,10,0,1,1,Independent,Alone
1-24,AUSTRIA,Yes,tour_909,"Radio, TV, Web",business,"Wonderful Country, Landscape, Nature",7,0,No,No,No,No,No,No,No,Credit Card,Leisure and Holidays,4538660,7,1,0,1,Independent,Alone
1-24,BELGIUM,No,tour_1333,"Friends, relatives",Beach tourism,Friendly People,21,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,226933,21,1,0,1,Independent,Alone
1-24,BELGIUM,No,tour_2638,"Travel, agent, tour operator",Wildlife tourism,Good service,40,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,2652000,40,1,1,2,Independent,Friends/Relatives
1-24,BELGIUM,Yes,tour_1175,"Radio, TV, Web",Beach tourism,No comments,13,10,Yes,Yes,No,No,No,No,No,Cash,Leisure and Holidays,14750645,23,3,1,4,Package Tour,Friends/Relatives
1-24,BELGIUM,Yes,tour_1226,"Travel, agent, tour operator",Wildlife tourism,No comments,9,14,Yes,Yes,Yes,Yes,Yes,No,No,Cash,Volunteering,11119717,23,3,0,3,Package Tour,Friends/Relatives
1-24,BELGIUM,Yes,tour_3124,"Friends, relatives",Hunting tourism,Friendly People,10,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,667972.5,10,1,0,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_3413,"Travel, agent, tour operator",Cultural tourism,Friendly People,10,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,510599.25,10,1,0,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_369,"Friends, relatives",Wildlife tourism,Friendly People,20,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,9077320,24,2,0,2,Independent,Friends/Relatives
1-24,BELGIUM,Yes,tour_4690,"Friends, relatives",Hunting tourism,Friendly People,10,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,364650,10,1,0,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_4979,"Friends, relatives",Cultural tourism,"Wonderful Country, Landscape, Nature",11,0,Yes,Yes,No,No,No,No,Yes,Cash,Volunteering,2817750,11,1,0,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_4989,"Travel, agent, tour operator",Hunting tourism,"Wonderful Country, Landscape, Nature",10,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,165750,10,0,1,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5002,"Friends, relatives",Cultural tourism, Wildlife,14,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,2900625,14,0,1,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5080,"Friends, relatives",Cultural tourism,"Wonderful Country, Landscape, Nature",14,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,2991787.5,14,1,0,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5082,"Friends, relatives",Cultural tourism,"Wonderful Country, Landscape, Nature",11,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,2983500,11,1,0,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5085,"Friends, relatives",Cultural tourism,"Wonderful Country, Landscape, Nature",11,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,2900625,11,0,1,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5741,"Friends, relatives",Wildlife tourism,"Wonderful Country, Landscape, Nature",11,3,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Volunteering,2900625,14,0,1,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5743,"Friends, relatives",Wildlife tourism,"Wonderful Country, Landscape, Nature",11,0,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,3265275,11,0,1,1,Package Tour,Alone
1-24,BELGIUM,Yes,tour_5990,"Travel, agent, tour operator",Wildlife tourism,"Wonderful Country, Landscape, Nature",5,3,Yes,Yes,Yes,No,Yes,No,Yes,Credit Card,Leisure and Holidays,1922700,8,0,1,1,Package Tour,Uknown
1-24,BELGIUM,Yes,tour_6086,"Travel, agent, tour operator",Conference tourism,"Wonderful Country, Landscape, Nature",7,0,Yes,Yes,Yes,Yes,No,No,No,Cash,Leisure and Holidays,4889625,7,2,0,2,Package Tour,Friends/Relatives
1-24,BERMUDA,Yes,tour_749,"Friends, relatives",Cultural tourism,Friendly People,70,0,No,No,No,No,No,No,No,Cash,Volunteering,200000,70,1,0,1,Independent,Uknown
1-24,BRAZIL,Yes,tour_5875,"Travel, agent, tour operator",Conference tourism,"Wonderful Country, Landscape, Nature",10,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,6298500,14,1,0,1,Package Tour,Alone
1-24,BURUNDI,No,tour_207,"Friends, relatives",Beach tourism,Friendly People,45,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,2750000,45,4,1,5,Independent,Friends/Relatives
1-24,BURUNDI,No,tour_4248,"Friends, relatives",Cultural tourism,Excellent Experience,3,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,50000,3,0,1,1,Independent,Uknown
1-24,BURUNDI,No,tour_4454,"Friends, relatives",Cultural tourism,Friendly People,4,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,167000,4,1,0,1,Independent,Uknown
1-24,BURUNDI,No,tour_6226,"Friends, relatives",Wildlife tourism,Excellent Experience,10,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,92200,10,0,1,1,Independent,Uknown
1-24,BURUNDI,No,tour_6314,"Friends, relatives",Cultural tourism,Excellent Experience,30,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,325000,30,1,0,1,Independent,Uknown
1-24,BURUNDI,No,tour_6460,"Friends, relatives",Hunting tourism,Friendly People,1,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,130000,1,1,1,2,Independent,Spouse
1-24,BURUNDI,Yes,tour_3558,others,Wildlife tourism,No comments,5,0,No,No,No,No,No,No,No,Cash,Business,250000,5,0,1,1,Independent,Uknown
1-24,CANADA,No,tour_30,"Friends, relatives",Beach tourism,Good service,49,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,331500,49,0,1,1,Independent,Uknown
1-24,CANADA,No,tour_5035,"Friends, relatives",Beach tourism,Friendly People,0,60,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,300000,60,1,0,1,Independent,Uknown
1-24,CANADA,No,tour_6167,"Friends, relatives",Wildlife tourism,"Wonderful Country, Landscape, Nature",21,0,No,No,No,No,No,No,No,Cash,Visiting Friends and Relatives,1707225,21,1,0,1,Independent,Alone
1-24,CANADA,Yes,tour_1425,"Travel, agent, tour operator",Beach tourism,Friendly People,3,3,Yes,Yes,Yes,No,Yes,No,Yes,Cash,Leisure and Holidays,6132750,6,1,0,1,Package Tour,Alone
1-24,CANADA,Yes,tour_166,"Newspaper, magazines,brochures",Beach tourism, Wildlife,0,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,663000,4,1,0,1,Independent,Uknown
1-24,CANADA,Yes,tour_1810,"Friends, relatives",Cultural tourism,No comments,36,6,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4972500,42,2,0,2,Independent,Friends/Relatives
1-24,CANADA,Yes,tour_2345,"Friends, relatives",Wildlife tourism,Good service,14,0,No,No,No,No,No,No,No,Cash,Leisure and Holidays,4972500,14,0,1,1,Independent,Alone
1-24,CANADA,Yes,tour_2929,"Friends, relatives",Cultural tourism,Good service,30,0,No,No,No,No,No,No,No,Cash,Volunteering,497250,30,1,0,1,Independent,Uknown
1-24,CANADA,Yes,tour_3185,"Travel, agent, tour operator",Wildlife tourism,Good service,21,0,Yes,Yes,Yes,Yes,Yes,No,Yes,Cash,Leisure and Holidays,81008720,21,1,1,2,Package Tour,Friends/Relatives
1-24,CANADA,Yes,tour_3949,"Travel, agent, tour operator",Wildlife tourism, Wildlife,4,0,Yes,Yes,No,No,No,No,Yes,Cash,Visiting Friends and Relatives,5784675,4,1,0,1,Package Tour,Alone
1-24,CANADA,Yes,tour_4062,"Travel, agent, tour operator",Conference tourism,Good service,3,0,Yes,Yes,Yes,No,Yes,Yes,Yes,Cash,Leisure and Holidays,4632712.5,3,1,0,1,Package Tour,Alone
1-24,CANADA,Yes,tour_4773,"Friends, relatives",Wildlife tourism, Wildlife,7,0,Yes,Yes,Yes,No,Yes,No,No,Cash,Leisure and Holidays,8287500,7,2,1,3,Package Tour,Spouse and Children
1-24,CANADA,Yes,tour_5456,"Newspaper, magazines,brochures",Beach tourism,"Wonderful Country, Landscape, Nature",6,7,No,No,No,No,No,No,No,Cash,Leisure and Holidays,123000,13,1,0,1,Independent,Alone
1-24,CANADA,Yes,tour_709,"Travel, agent, tour operator",Hunting tourism,Friendly People,14,0,Yes,Yes,Yes,No,Yes,No,No,Cash,Scientific and Academic,303000,14,1,0,1,Package Tour,Uknown
1-24,CANADA,Yes,tour_727,"Friends, relatives",Wildlife tourism,No comments,10,11,Yes,Yes,No,No,Yes,No,No,Cash,Volunteering,15932280,21,0,0,0,Package Tour,Friends/Relatives
1-24,CANADA,Yes,tour_86,"Travel, agent, tour operator",Hunting tourism,Friendly People,16,0,No,No,No,No,No,No,No,Cash,Volunteering,1270000,16,1,0,1,Independent,Alone
1-24,CHINA,No,tour_1596,"Travel, agent, tour operator",Wildlife tourism,No comments,42,3,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3315000,45,0,2,2,Independent,Friends/Relatives
1-24,CHINA,No,tour_391,"Friends, relatives",Beach tourism,No comments,7,0,No,No,No,No,No,No,No,Cash,Business,3315000,7,1,0,1,Independent,Uknown
1-24,CHINA,Yes,tour_1004,"Travel, agent, tour operator",Wildlife tourism,No comments,7,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,1657500,11,1,0,1,Independent,Uknown
1-24,CHINA,Yes,tour_1050,"Friends, relatives",Wildlife tourism,Friendly People,34,4,No,No,No,No,No,No,No,Cash,Leisure and Holidays,3273562.5,38,0,1,1,Independent,Alone
